Datum,we1_meter,we2_meter,general_meter,pv_meter,sum_meter
2025-08-06 11:18:07,28.218,2.621,100.75,152.47610871757234,-20.887108717572346
2025-08-06 11:33:07,28.246,2.621,,153.76324032032787,-22.146240320327877
2025-08-06 11:33:08,,,100.766,155.07527574082587,-23.442275740825863
2025-08-06 11:48:06,28.266,2.621,,156.40997338855937,-24.756973388559373
2025-08-06 11:48:07,,,100.783,157.76505295498617,-26.095052954986187
2025-08-06 12:03:06,28.275,,100.807,159.13819930939798,-27.435199309397973
2025-08-06 12:18:06,28.296,2.622,,160.52706645428228,-28.802066454282283
2025-08-06 12:18:07,,,100.824,161.9292815334197,-30.187281533419707
2025-08-06 12:33:06,,2.622,100.84,163.34244888586917,-31.584448885869165
2025-08-06 12:33:07,28.324,,,164.76415413891434,-32.978154138914334
2025-08-06 12:48:06,28.34,2.622,,166.1919683329789,-34.389968332978896
2025-08-06 12:48:07,,,100.857,167.6234520714633,-35.80445207146332
2025-08-06 13:03:06,28.35,2.622,100.876,169.05615968841295,-37.208159688412934
2025-08-06 13:18:06,28.375,2.622,100.906,170.48764342689736,-38.584643426897344
2025-08-06 13:33:07,28.402,2.623,100.922,171.91545762096192,-39.968457620961914
2025-08-06 13:48:05,28.412,2.623,100.939,173.33716287400708,-41.36316287400709
2025-08-06 14:03:06,,2.623,,174.75033022645655,-42.776330226456565
2025-08-06 14:03:07,28.427,,100.956,176.15254530559397,-44.146545305593975
2025-08-06 14:18:05,28.454,2.623,100.979,177.54141245047828,-45.485412450478265
2025-08-06 14:33:06,28.472,2.623,100.996,178.91455880489008,-46.82355880489007
2025-08-06 14:48:05,28.483,2.624,,180.2696383713169,-48.16663837131688
2025-08-06 14:48:06,,,101.013,181.60433601905038,-49.484336019050374
2025-08-06 15:03:06,28.506,2.624,101.029,182.91637143954839,-50.75737143954839
2025-08-06 15:18:07,28.532,2.624,101.054,184.2035030423039,-51.9935030423039
2025-08-06 15:33:06,,,101.077,185.46353178456474,-53.23053178456473
2025-08-06 15:33:07,28.548,2.624,,186.6943049283612,-54.445304928361196
2025-08-06 15:48:06,28.581,,,187.89371971842283,-55.61171971842285
2025-08-06 15:48:07,,,101.094,189.05972697470054,-56.76072697470056
2025-08-06 15:58:06,,2.625,,190.19033459335628,-57.8903345933563
2025-08-06 16:03:06,28.828,,101.116,191.28361095023908,-58.71461095023909
2025-08-06 16:18:09,29.147,,101.144,192.33768820103245,-59.42168820103245
2025-08-06 16:28:06,,2.625,,193.35076547243517,-60.434765472435174
2025-08-06 16:33:07,29.606,,101.16,194.321111938923,-60.930111938923005
2025-08-06 16:48:06,29.683,2.625,101.176,195.24706977983513,-61.76306977983512
2025-08-06 17:03:06,29.71,,101.202,196.12705701173292,-62.59005701173291
2025-08-06 17:03:07,,2.625,,196.9595701911921,-63.42257019119211
2025-08-06 17:18:06,,,101.224,197.7431869834107,-64.18418698341071
2025-08-06 17:18:08,29.73,,,198.47656859224404,-64.89756859224403
2025-08-06 17:18:09,,2.626,,199.15846204751557,-65.57846204751556
2025-08-06 17:33:06,29.739,2.626,102.42,199.7877023456955,-65.0027023456955
2025-08-06 17:48:06,29.762,2.627,104.886,200.36321444028962,-63.08821444028962
2025-08-06 18:03:07,,2.627,107.338,200.88401507853834,-61.157015078538336
2025-08-06 18:03:08,29.789,,,201.3492144812874,-61.5952144812874
2025-08-06 18:18:07,29.802,2.672,109.756,201.75801786316075,-59.528017863160755
2025-08-06 18:33:07,29.811,2.673,112.167,202.10972679043797,-57.458726790437964
2025-08-06 18:48:06,29.838,2.673,,202.40374037431658,-57.72574037431659
2025-08-06 18:48:07,,,114.575,202.6395562975205,-55.55355629752049
2025-08-06 19:03:07,29.988,2.682,116.989,202.81677167250064,-53.157771672500644
